batch,episode_len,loss,entropy,kl,explained_var_old,explained_var_new,win_ratio,pure_mcts_playout_num,learn_rate,collect_data_time_s,train_data_time_s,evaluate_time_s
200,12,0.7729575634002686,0.39570289850234985,0.015097072,0.6005344798841361,0.6365391990967812,0.9125,50,0.001,485.76338243484497,91.49649977684021,66.89445900917053
400,11,0.7178572416305542,0.41980016231536865,0.0118320435,0.6416712101863453,0.657328236246409,0.75,150,0.001,976.4115633964539,367.91595816612244,168.51255345344543
600,20,0.927172839641571,0.44373613595962524,0.016326183,0.5194068529558846,0.5283078077341875,0.8,150,0.001,1457.08669424057,779.6106600761414,256.3265311717987
800,25,0.752761960029602,0.36391687393188477,0.010298998,0.5791401348157171,0.6033868019968084,0.7125,150,0.001,1920.534514427185,1186.3058109283447,358.9428722858429
1000,19,0.9624186754226685,0.4420880675315857,0.02680321,0.5084010167991346,0.5349621664711965,0.825,150,0.001,2422.6663026809692,1573.6173977851868,450.6848123073578
1200,11,0.7315939664840698,0.3517172336578369,0.0017159146,0.5761420625975775,0.5948655812430504,0.7125,150,0.001,2921.1805918216705,1975.0614664554596,552.2775120735168
1400,25,0.7931379079818726,0.39544254541397095,0.035307106,0.5944103827577528,0.6349650625925862,0.8375,150,0.001,3460.728036403656,2407.1150708198547,639.5329177379608
1600,13,0.7854716777801514,0.3931322991847992,0.010348204,0.530551322413306,0.5499894622120232,0.8125,150,0.001,3970.3495531082153,2807.2595348358154,737.7310833930969
1800,25,0.6927704215049744,0.3191520571708679,0.011112102,0.527397425963894,0.5454385740049368,0.8375,150,0.001,4497.1202919483185,3210.6611897945404,836.6302213668823
2000,15,0.6468743085861206,0.31918829679489136,4.2001855e-05,0.585081527768027,0.5878580201249582,0.8375,150,0.0005,5010.076442241669,3632.0883519649506,933.4214997291565
2200,25,0.6018421649932861,0.31769517064094543,0.007367075,0.6060166851310931,0.6104829271930822,0.825,150,0.0005,5509.027703523636,4039.7831988334656,1017.2500138282776
2400,18,0.7345555424690247,0.37713027000427246,0.016661447,0.4500935559583479,0.4656484423173489,0.775,150,0.0005,5997.8056564331055,4458.924012422562,1114.3176481723785
2600,8,0.5990747213363647,0.2857101559638977,0.006607615,0.5284860517636132,0.537316946998285,0.85,150,0.0005,6501.652942419052,4878.368612527847,1214.3093605041504
2800,25,0.6557483673095703,0.3166562616825104,0.012930049,0.48348118166332554,0.5047280759351014,0.7875,150,0.0005,7013.8569622039795,5297.655661821365,1307.9494514465332
3000,19,0.6518499255180359,0.3588927388191223,0.021379907,0.43461031749375034,0.4694446758944968,0.8,150,0.0005,7508.3043892383575,5707.689715147018,1407.378366947174
3200,25,0.7561185359954834,0.3777063190937042,0.006201095,0.4762585923120767,0.4961901376709571,0.8375,150,0.0005,8002.972179889679,6130.256383895874,1498.5617027282715
3400,25,0.7332922220230103,0.3692784905433655,0.010527694,0.5541115057119107,0.5768982139724315,0.85,150,0.0005,8501.57612490654,6528.306663513184,1598.6600453853607
3600,9,0.5522457957267761,0.3022056818008423,0.0019101859,0.5678625587264131,0.5745916554780339,0.75,150,0.0005,9010.392483711243,6924.576767921448,1705.0182237625122
3800,25,0.5379757285118103,0.29522326588630676,0.016674124,0.6007208737421708,0.6164791263648933,0.85,150,0.0005,9553.830265522003,7323.809848546982,1807.9017179012299
4000,11,0.5140174627304077,0.24439646303653717,5.3492353e-05,0.5228114335455185,0.5270069404348801,0.775,150,0.00025,10105.26215171814,7733.710244417191,1907.5626747608185
4200,15,0.6497721672058105,0.3389347195625305,0.0036927185,0.4408288423675798,0.44834432259520784,0.85,150,0.00025,10656.272458791733,8132.520226716995,2015.917127609253
4400,10,0.568030059337616,0.2766314744949341,0.0016088942,0.5547999712629624,0.5607690599759112,0.8875,150,0.00025,11192.11849975586,8543.409279108047,2110.4613132476807
4600,25,0.5713618397712708,0.28660207986831665,0.007233701,0.5027652590710299,0.5087823982019796,0.5375,150,0.00025,11730.935969352722,8958.145249843597,2224.728270292282
4800,19,0.6640025973320007,0.30705612897872925,0.01325885,0.4985434055971759,0.5107252056168944,0.6375,150,0.00025,12308.292042255402,9367.579988479614,2340.0904579162598
5000,25,0.6298590302467346,0.35917362570762634,0.031670056,0.535790386512809,0.5427203221706898,0.675,150,0.00025,12858.404655694962,9804.274058818817,2451.800513267517
5200,15,0.6181864142417908,0.3338865637779236,0.009080887,0.4756508859991432,0.48580291924923624,0.6375,150,0.00025,13457.072391271591,10249.350333452225,2569.1123292446136
5400,9,0.5659099221229553,0.30728504061698914,0.0037065102,0.4786769954077724,0.48702307145676393,0.6375,150,0.00025,14049.40235042572,10680.138598442078,2680.828110218048
5600,23,0.6683588624000549,0.298353374004364,0.008535683,0.5453458641393167,0.5537423200130445,0.675,150,0.00025,14637.639590024948,11106.004039049149,2783.341346025467
5800,16,0.53364098072052,0.2898141145706177,0.0038311162,0.5147047316111041,0.5275315035724513,0.625,150,0.00025,15252.741915464401,11529.892583847046,2903.8910262584686
6000,21,0.4765605032444,0.25759977102279663,0.0022826812,0.5095752882130542,0.5135642924664936,0.6875,150,0.000125,15858.494591236115,11939.465707540512,3009.4865202903748
6200,8,0.5206987857818604,0.2560303509235382,0.0004701326,0.44518089916690085,0.45122197405683007,0.6625,150,0.000125,16452.64843559265,12334.315236330032,3111.6049971580505
6400,25,0.7212221622467041,0.3037158250808716,0.005260574,0.3267755181165267,0.3286154329973946,0.7375,150,0.000125,17012.667211532593,12744.714361429214,3223.4598965644836
6600,18,0.6120279431343079,0.3168220818042755,0.0008840638,0.28444620665455667,0.29450708712464835,0.4875,150,0.000125,17590.795402288437,13155.578059196472,3341.35359787941
6800,25,0.5942318439483643,0.3170970678329468,0.0019751538,0.4199882794959384,0.4328057685574417,0.525,150,0.000125,18185.88179898262,13554.207546710968,3460.7603194713593
7000,25,0.7252120971679688,0.40544259548187256,0.0065981075,0.35819608665249814,0.36518724327801355,0.375,150,0.000125,18788.857190847397,13968.206450223923,3586.9834678173065
7200,25,0.7763123512268066,0.3977157771587372,0.0037580458,0.38538521681691285,0.39208449158855996,0.6,150,0.000125,19376.88776922226,14378.683840036392,3698.8330223560333
7400,25,0.6586934328079224,0.37746313214302063,0.0025051713,0.39082756782093186,0.4054034592544481,0.4875,150,0.000125,19988.68115758896,14794.826356649399,3824.888430595398
7600,25,0.8484911322593689,0.4197014570236206,0.003254798,0.44216758899941155,0.45620946564975484,0.5875,150,0.000125,20588.61519384384,15221.100124835968,3938.5409104824066
7800,17,0.8372060656547546,0.39278125762939453,0.0024632816,0.4298149368847909,0.44699135567859494,0.575,150,0.000125,21201.98691058159,15638.668229579926,4052.241727590561
